id,title,release_date,release_year,genres_list,director,top_cast,budget,revenue,profit,roi,vote_average,vote_count,popularity,runtime,original_language
19995,Avatar,2009-12-10,2009.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",James Cameron,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",237000000,2787965087,2550965087,1076.356576793249,7.2,11800,150.437577,162.0,en
285,Pirates of the Caribbean: At World's End,2007-05-19,2007.0,"['Adventure', 'Fantasy', 'Action']",Gore Verbinski,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",300000000,961000000,661000000,220.33333333333331,6.9,4500,139.082615,169.0,en
206647,Spectre,2015-10-26,2015.0,"['Action', 'Adventure', 'Crime']",Sam Mendes,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",245000000,880674609,635674609,259.45902408163266,6.3,4466,107.376788,148.0,en
49026,The Dark Knight Rises,2012-07-16,2012.0,"['Action', 'Crime', 'Drama', 'Thriller']",Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Gary Oldman']",250000000,1084939099,834939099,333.97563959999997,7.6,9106,112.31295,165.0,en
49529,John Carter,2012-03-07,2012.0,"['Action', 'Adventure', 'Science Fiction']",Andrew Stanton,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",260000000,284139100,24139100,9.284269230769231,6.1,2124,43.926995,132.0,en
559,Spider-Man 3,2007-05-01,2007.0,"['Fantasy', 'Action', 'Adventure']",Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",258000000,890871626,632871626,245.29907984496126,5.9,3576,115.699814,139.0,en
38757,Tangled,2010-11-24,2010.0,"['Animation', 'Family']",Byron Howard,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']",260000000,591794936,331794936,127.61343692307692,7.4,3330,48.681969,100.0,en
99861,Avengers: Age of Ultron,2015-04-22,2015.0,"['Action', 'Adventure', 'Science Fiction']",Joss Whedon,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",280000000,1405403694,1125403694,401.9298907142857,7.3,6767,134.279229,141.0,en
767,Harry Potter and the Half-Blood Prince,2009-07-07,2009.0,"['Adventure', 'Fantasy', 'Family']",David Yates,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",250000000,933959197,683959197,273.5836788,7.4,5293,98.885637,153.0,en
209112,Batman v Superman: Dawn of Justice,2016-03-23,2016.0,"['Action', 'Adventure', 'Fantasy']",Zack Snyder,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",250000000,873260194,623260194,249.3040776,5.7,7004,155.790452,151.0,en
1452,Superman Returns,2006-06-28,2006.0,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",Bryan Singer,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']",270000000,391081192,121081192,44.84488592592592,5.4,1400,57.925623,154.0,en
10764,Quantum of Solace,2008-10-30,2008.0,"['Adventure', 'Action', 'Thriller', 'Crime']",Marc Forster,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric']",200000000,586090727,386090727,193.04536349999998,6.1,2965,107.928811,106.0,en
58,Pirates of the Caribbean: Dead Man's Chest,2006-06-20,2006.0,"['Adventure', 'Fantasy', 'Action']",Gore Verbinski,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",200000000,1065659812,865659812,432.829906,7.0,5246,145.847379,151.0,en
57201,The Lone Ranger,2013-07-03,2013.0,"['Action', 'Adventure', 'Western']",Gore Verbinski,"['Johnny Depp', 'Armie Hammer', 'William Fichtner']",255000000,89289910,-165710090,-64.98434901960785,5.9,2311,49.046956,149.0,en
49521,Man of Steel,2013-06-12,2013.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Zack Snyder,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']",225000000,662845518,437845518,194.598008,6.5,6359,99.398009,143.0,en
2454,The Chronicles of Narnia: Prince Caspian,2008-05-15,2008.0,"['Adventure', 'Family', 'Fantasy']",Andrew Adamson,"['Ben Barnes', 'William Moseley', 'Anna Popplewell']",225000000,419651413,194651413,86.51173911111111,6.3,1630,53.978602,150.0,en
24428,The Avengers,2012-04-25,2012.0,"['Science Fiction', 'Action', 'Adventure']",Joss Whedon,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",220000000,1519557910,1299557910,590.708140909091,7.4,11776,144.448633,143.0,en
1865,Pirates of the Caribbean: On Stranger Tides,2011-05-14,2011.0,"['Adventure', 'Action', 'Fantasy']",Rob Marshall,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane']",380000000,1045713802,665713802,175.18784263157895,6.4,4948,135.413856,136.0,en
41154,Men in Black 3,2012-05-23,2012.0,"['Action', 'Comedy', 'Science Fiction']",Barry Sonnenfeld,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']",225000000,624026776,399026776,177.34523377777776,6.2,4160,52.035179,106.0,en
122917,The Hobbit: The Battle of the Five Armies,2014-12-10,2014.0,"['Action', 'Adventure', 'Fantasy']",Peter Jackson,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",250000000,956019788,706019788,282.4079152,7.1,4760,120.965743,144.0,en
1930,The Amazing Spider-Man,2012-06-27,2012.0,"['Action', 'Adventure', 'Fantasy']",Marc Webb,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",215000000,752215857,537215857,249.86784046511627,6.5,6586,89.866276,136.0,en
20662,Robin Hood,2010-05-12,2010.0,"['Action', 'Adventure']",Ridley Scott,"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow']",200000000,310669540,110669540,55.33477,6.2,1398,37.668301,140.0,en
57158,The Hobbit: The Desolation of Smaug,2013-12-11,2013.0,"['Adventure', 'Fantasy']",Peter Jackson,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",250000000,958400000,708400000,283.36,7.6,4524,94.370564,161.0,en
2268,The Golden Compass,2007-12-04,2007.0,"['Adventure', 'Fantasy']",Chris Weitz,"['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig']",180000000,372234864,192234864,106.79714666666666,5.8,1303,42.990906,113.0,en
254,King Kong,2005-12-14,2005.0,"['Adventure', 'Drama', 'Action']",Peter Jackson,"['Naomi Watts', 'Jack Black', 'Adrien Brody']",207000000,550000000,343000000,165.70048309178745,6.6,2337,61.22601,187.0,en
597,Titanic,1997-11-18,1997.0,"['Drama', 'Romance', 'Thriller']",James Cameron,"['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher']",200000000,1845034188,1645034188,822.517094,7.5,7562,100.025899,194.0,en
271110,Captain America: Civil War,2016-04-27,2016.0,"['Adventure', 'Action', 'Science Fiction']",Anthony Russo,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']",250000000,1153304495,903304495,361.321798,7.1,7241,198.372395,147.0,en
44833,Battleship,2012-04-11,2012.0,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",Peter Berg,"['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna']",209000000,303025485,94025485,44.98827033492823,5.5,2114,64.928382,131.0,en
135397,Jurassic World,2015-06-09,2015.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Colin Trevorrow,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan']",150000000,1513528810,1363528810,909.0192066666667,6.5,8662,418.708552,124.0,en
37724,Skyfall,2012-10-25,2012.0,"['Action', 'Adventure', 'Thriller']",Sam Mendes,"['Daniel Craig', 'Judi Dench', 'Javier Bardem']",200000000,1108561013,908561013,454.28050649999994,6.9,7604,93.004993,143.0,en
558,Spider-Man 2,2004-06-25,2004.0,"['Action', 'Adventure', 'Fantasy']",Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",200000000,783766341,583766341,291.8831705,6.7,4321,35.149586,127.0,en
68721,Iron Man 3,2013-04-18,2013.0,"['Action', 'Adventure', 'Science Fiction']",Shane Black,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",200000000,1215439994,1015439994,507.719997,6.8,8806,77.68208,130.0,en
12155,Alice in Wonderland,2010-03-03,2010.0,"['Family', 'Fantasy', 'Adventure']",Tim Burton,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway']",200000000,1025491110,825491110,412.74555499999997,6.4,4645,78.530105,108.0,en
36668,X-Men: The Last Stand,2006-05-24,2006.0,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",Brett Ratner,"['Hugh Jackman', 'Halle Berry', 'Ian McKellen']",210000000,459359555,249359555,118.74264523809524,6.3,3525,3.857526,104.0,en
62211,Monsters University,2013-06-20,2013.0,"['Animation', 'Family']",Dan Scanlon,"['Billy Crystal', 'John Goodman', 'Steve Buscemi']",200000000,743559607,543559607,271.7798035,7.0,3528,89.186492,104.0,en
8373,Transformers: Revenge of the Fallen,2009-06-19,2009.0,"['Science Fiction', 'Action', 'Adventure']",Michael Bay,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel']",150000000,836297228,686297228,457.53148533333336,6.0,3138,21.939663,150.0,en
91314,Transformers: Age of Extinction,2014-06-25,2014.0,"['Science Fiction', 'Action', 'Adventure']",Michael Bay,"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer']",210000000,1091405097,881405097,419.71671285714285,5.8,3095,116.840296,165.0,en
68728,Oz: The Great and Powerful,2013-03-07,2013.0,"['Fantasy', 'Adventure', 'Family']",Sam Raimi,"['James Franco', 'Mila Kunis', 'Rachel Weisz']",200000000,491868548,291868548,145.93427400000002,5.7,3530,46.985445,130.0,en
102382,The Amazing Spider-Man 2,2014-04-16,2014.0,"['Action', 'Adventure', 'Fantasy']",Marc Webb,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']",200000000,705717432,505717432,252.858716,6.5,4179,89.270217,142.0,en
20526,TRON: Legacy,2010-12-10,2010.0,"['Adventure', 'Action', 'Science Fiction']",Joseph Kosinski,"['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde']",170000000,400062763,230062763,135.3310370588235,6.3,2841,73.79505,125.0,en
49013,Cars 2,2011-06-11,2011.0,"['Animation', 'Family', 'Adventure', 'Comedy']",John Lasseter,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine']",200000000,559852396,359852396,179.926198,5.8,2033,49.98659,106.0,en
44912,Green Lantern,2011-06-16,2011.0,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Martin Campbell,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard']",200000000,219851172,19851172,9.925586000000001,5.1,2487,51.872839,114.0,en
10193,Toy Story 3,2010-06-16,2010.0,"['Animation', 'Family', 'Comedy']",Lee Unkrich,"['Tom Hanks', 'Tim Allen', 'Ned Beatty']",200000000,1066969703,866969703,433.4848515,7.6,4597,59.995418,103.0,en
534,Terminator Salvation,2009-05-20,2009.0,"['Action', 'Science Fiction', 'Thriller']",McG,"['Christian Bale', 'Sam Worthington', 'Anton Yelchin']",200000000,371353001,171353001,85.6765005,5.9,2463,71.862892,115.0,en
168259,Furious 7,2015-04-01,2015.0,['Action'],James Wan,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']",190000000,1506249360,1316249360,692.7628210526316,7.3,4176,102.322217,137.0,en
